category,customer_tier,total_orders,total_returns,return_rate
clothing,silver,153,26,0.16993464052287582
beauty,bronze,180,24,0.13333333333333333
food_drink,silver,138,18,0.13043478260869565
home_garden,platinum,157,27,0.17197452229299362
home_garden,bronze,176,25,0.14204545454545456
beauty,silver,151,21,0.1390728476821192
toys,bronze,176,28,0.1590909090909091
,bronze,23,7,0.30434782608695654
toys,gold,105,14,0.13333333333333333
clothing,platinum,149,11,0.0738255033557047
food_drink,platinum,149,24,0.1610738255033557
clothing,gold,115,17,0.14782608695652175
,silver,30,7,0.23333333333333334
electronics,bronze,161,31,0.19254658385093168
,gold,15,4,0.26666666666666666
beauty,platinum,154,19,0.12337662337662338
food_drink,bronze,147,25,0.17006802721088435
toys,silver,142,28,0.19718309859154928
electronics,silver,129,23,0.17829457364341086
sports,platinum,151,23,0.152317880794702
home_garden,gold,112,17,0.15178571428571427
home_garden,silver,154,22,0.14285714285714285
sports,bronze,169,29,0.17159763313609466
sports,gold,110,11,0.1
,platinum,29,6,0.20689655172413793
books,gold,93,4,0.043010752688172046
books,bronze,152,24,0.15789473684210525
electronics,gold,91,13,0.14285714285714285
books,silver,145,23,0.15862068965517243
books,platinum,163,33,0.20245398773006135
beauty,gold,100,14,0.14
electronics,platinum,135,27,0.2
food_drink,gold,97,10,0.10309278350515463
toys,platinum,173,21,0.12138728323699421
sports,silver,158,27,0.17088607594936708
clothing,bronze,141,17,0.12056737588652482
